name,n_trials,n_sw_trials,n_vsw_trials,n_L_trials,n_R_trials,pct_correct,pct_sw_correct,pct_vsw_correct,pct_L_correct,pct_R_correct,task,subject,n_units,n_cells,n_mua,session
s3se10,36,20,11,14,22,0.5142857142857142,0.45,0.3636363636363636,0.7857142857142857,0.3181818181818182,T3g,Al,7,0,7,Al_T3g_100518
s3se12,79,33,22,38,41,0.6455696202531646,0.6060606060606061,0.6363636363636364,0.7105263157894737,0.5853658536585366,T3g,Al,4,1,3,Al_T3g_101018
s3se14,111,50,36,59,52,0.6909090909090909,0.74,0.8055555555555556,0.5423728813559322,0.8461538461538461,T3g,Al,1,0,1,AL_T3g_101218
s3se16,55,23,11,17,38,0.3962264150943396,0.5652173913043478,0.4545454545454545,0.7647058823529411,0.2105263157894736,T3g,Al,1,0,1,Al_T3g_101518
s3se18,31,10,5,6,25,0.3,0.5,0.0,1.0,0.12,T3g,Al,3,1,2,Al_T3g_101718
s3se21,233,98,81,124,109,0.7801724137931034,0.8469387755102041,0.8888888888888888,0.7096774193548387,0.8532110091743119,T3g,Al,3,0,3,Al_T3g_102218
s3se24,100,54,34,44,56,0.6161616161616161,0.6296296296296297,0.6470588235294118,0.4318181818181818,0.75,T3g,Al,1,0,1,Al_T3g_102918
s3se28,240,123,97,124,116,0.7907949790794979,0.8211382113821138,0.9072164948453608,0.8064516129032258,0.7672413793103449,T3g,Al,1,1,0,Al_T3g_111418
s3se29,249,120,91,129,120,0.8064516129032258,0.8,0.7692307692307693,0.8837209302325582,0.7166666666666667,T3g,Al,3,0,3,Al_T3g_111618
s4se0,12,4,3,5,7,0.6363636363636364,0.5,0.6666666666666666,0.4,0.7142857142857143,T3g,Ca,16,9,7,Ca_T3g_030419
s4se2,30,15,9,17,13,0.5862068965517241,0.5333333333333333,0.7777777777777778,0.6470588235294118,0.4615384615384615,T3g,Ca,10,3,7,Ca_T3g_030519
s4se5,33,19,10,17,16,0.5454545454545454,0.631578947368421,0.7,0.5882352941176471,0.5,T3g,Ca,6,3,3,Ca_T3g_030619
s4se7,60,29,14,31,29,0.5254237288135594,0.5172413793103449,0.7142857142857143,0.6451612903225806,0.3793103448275862,T3g,Ca,4,1,3,Ca_T3g_030719
s4se9,71,34,17,34,37,0.5428571428571428,0.5882352941176471,0.7647058823529411,0.5882352941176471,0.4864864864864865,T3g,Ca,3,1,2,Ca_T3g_030819
s4se11,36,19,10,15,21,0.4857142857142857,0.631578947368421,0.8,0.6666666666666666,0.3333333333333333,T3g,Ca,3,0,3,Ca_T3g_031119
s4se12,81,29,16,33,48,0.475,0.4482758620689655,0.375,0.8484848484848485,0.2083333333333333,T3g,Ca,3,1,2,Ca_T3g_031219
s4se14,45,7,3,17,28,0.5227272727272727,0.4285714285714285,0.3333333333333333,0.7058823529411765,0.3928571428571428,T3g,Ca,4,0,4,Ca_T3g_031319
s4se15,0,0,0,0,0,,,,,,T3g,Ca,29,0,29,Ca_T3g_031419
s4se16,185,93,70,91,94,0.7119565217391305,0.7096774193548387,0.7428571428571429,0.8571428571428571,0.5638297872340425,T3g,Ca,1,0,1,Ca_T3g_031819
s4se17,165,82,68,89,76,0.8343558282208589,0.8536585365853658,0.9264705882352942,0.898876404494382,0.7368421052631579,T3g,Ca,4,0,4,Ca_T3g_031919
s4se19,241,116,94,128,113,0.8291666666666667,0.8448275862068966,0.851063829787234,0.9375,0.6991150442477876,T3g,Ca,1,0,1,Ca_T3g_032019
s4se20,296,156,138,154,142,0.8783783783783784,0.9102564102564102,0.9347826086956522,0.9415584415584416,0.8098591549295775,T3g,Ca,4,2,2,Ca_T3g_032119
s4se25,302,155,135,153,149,0.8866666666666667,0.8903225806451613,0.9037037037037036,0.8823529411764706,0.8791946308724832,T3g,Ca,1,0,1,Ca_T3g_032819
s4se27,238,120,110,111,127,0.940677966101695,0.9666666666666668,0.9818181818181818,0.963963963963964,0.905511811023622,T3g,Ca,2,0,2,Ca_T3g_032919
s4se29,152,82,66,74,78,0.8079470198675497,0.8414634146341463,0.8636363636363636,0.7702702702702703,0.8333333333333334,T3g,Ca,1,0,1,Ca_T3g_040119
s4se33,255,128,106,137,118,0.8313725490196079,0.8515625,0.8962264150943396,0.8467153284671532,0.8135593220338984,T3g,Ca,1,0,1,Ca_T3g_040919
s4se34,89,49,32,50,39,0.7045454545454546,0.7346938775510204,0.71875,0.84,0.5128205128205128,T3g,Ca,1,0,1,Ca_T3g_041119
s4se35,95,42,28,52,43,0.6276595744680851,0.7142857142857143,0.75,0.6730769230769231,0.5581395348837209,T3g,Ca,1,0,1,Ca_T3g_041619
s4se36,98,51,31,54,44,0.7083333333333334,0.7254901960784313,0.7096774193548387,0.8703703703703703,0.4772727272727273,T3g,Ca,1,0,1,Ca_T3g_041919
s4se38,104,44,25,63,41,0.7087378640776699,0.7045454545454546,0.72,0.8888888888888888,0.4146341463414634,T3g,Ca,1,0,1,Ca_T3g_042319
